Date;Annee;Fournisseurs;Age_recep;Colo;Brix;Acidite;Taches;Note_recep;Com_rec;Hauteur;Diametre;Forme;Poids;Productivite;Rendement;delais_transf;Age_7j;Note_7j;Conf_7j;Colo_7j;Homo_7j;Carac_7j;Age_8j;Note_8j;Conf_8j;Colo_8j;Homo_8j;Carac_8j
15/05/2020;2020;MI;22;2;14;;A;3;D;15;13;1,15;1637;92,4;0,44;5;34;12;C;1,5;NON;lev;35;;;;;
15/05/2020;2020;MI;25;2;15;;A;4;E;17;13;1,31;1929;73,8;0,42;3;35;12;C;1,5;NON;lev;36;;;;;
15/05/2020;2020;MI;25;2;16;;A;4;D;18;13;1,38;2072;123,3;0,51;3;35;12;C;2;OUI;lev;36;;;;;
15/05/2020;2020;MI;25;2;16;;A;4;A;18;13;1,38;1914;123,3;0,51;3;35;12;C;2;OUI;lev;36;;;;;
18/05/2020;2020;KE;23;2;16,6;;A;3;D;16,2;11,8;1,37;2020;127,8;0,45;4;34;12;C;2;OUI;bru;35;;;;;
18/05/2020;2020;KE;25;2;15,6;;A;4;E;19;13,5;1,41;2317;149,9;0,52;4;36;13;C;2,5;OUI;bru;37;;;;;
18/05/2020;2020;KE;23;2;16;;A;4;E;18,6;12,8;1,45;2237;105,6;0,47;4;34;13;C;2,5;OUI;bru;35;;;;;
18/05/2020;2020;KE;23;2;17,6;;A;4;D;17,4;12,6;1,38;1964;105,6;0,47;4;34;13;C;2,5;OUI;bru;35;;;;;
23/05/2020;2020;KE;25;2;17;;A;4;D;18;14;1,29;2420;105;0,28;4;36;11;NC;2;OUI;lev;37;;;;;
26/05/2020;2020;MI;29;2;14;;A;4;D;18;13;1,38;2087;78,1;0,29;1;37;11;NC;2;OUI;lev;38;;;;;
26/05/2020;2020;MI;29;2;14;;A;5;D;16;12;1,33;1701;78,1;0,29;1;37;11;NC;2;OUI;lev;38;;;;;
06/06/2020;2020;KE;28;2;13;;A;4;E;17;12;1,42;1878;103;0,46;3;38;14;C;2;OUI;lev;39;;;;;
